# Value,Voltage,Inches
2220,0.277758,62
2227,0.278634,62
2230,0.278634,62
2221,0.277883,62
2227,0.277383,62
2227,0.278634,62
2227,0.278383,62
2221,0.277883,62
2223,0.278258,62
2223,0.278258,62
2225,0.278258,62
2226,0.278258,62
2223,0.278008,62
2226,0.278759,62
2230,0.278508,62
2224,0.278258,62
2228,0.278759,62
2222,0.277758,62
2227,0.278508,62
2224,0.278008,62
2234,0.278634,62
2228,0.278634,62
2227,0.277883,62
2219,0.277633,62
2227,0.278258,62
2225,0.278258,62
2225,0.278383,62
335,0.041876,3
335,0.042001,3
331,0.041376,3
333,0.041751,3
333,0.042001,3
333,0.041876,3
333,0.041626,3
333,0.042001,3
332,0.041751,3
335,0.042001,3
336,0.042001,3
334,0.041876,3
335,0.041626,3
333,0.041876,3
334,0.041626,3
333,0.041751,3
331,0.041626,3
336,0.042126,3
331,0.041501,3
844,0.105753,20
791,0.099003,20
794,0.099253,20
796,0.099378,20
792,0.099378,20
796,0.099378,20
847,0.106003,20
847,0.105628,20
794,0.099378,20
846,0.105628,20
848,0.106253,20
842,0.105503,20
2783,0.344886,20
792,0.099378,20
1306,0.188256,20
845,0.106128,20
845,0.105378,20
795,0.099503,20
842,0.105503,20
847,0.105628,20
1359,0.169755,34
1665,0.207756,34
1412,0.176130,34
1412,0.176505,34
1459,0.204756,34
1664,0.208131,34
1665,0.208381,34
1664,0.208381,34
1654,0.207256,34
1409,0.175755,34
1409,0.176255,34
1580,0.184131,34
1352,0.169630,34
1490,0.182256,34
1308,0.165505,34
1265,0.157505,34
1408,0.196756,34
1356,0.169380,34
1306,0.163505,34
1308,0.163630,34
1264,0.157130,34
1256,0.156880,34
1251,0.156755,34
1261,0.162005,34
1258,0.157755,34
1662,0.207756,34
1257,0.157255,34
1253,0.156755,34
1256,0.157005,34
1356,0.169755,34
1288,0.156880,34
1253,0.157005,34
1419,0.176130,34
1402,0.175630,34
1256,0.156880,34
1379,0.197256,34
1254,0.156755,34
1286,0.156630,34
1309,0.163880,34
1251,0.156505,34
1464,0.180881,34
1607,0.201006,34
1402,0.169505,34
799,0.099753,168
1356,0.169755,168
1358,0.169505,168
1344,0.168255,168
1355,0.169630,168
798,0.099378,168
794,0.099503,168
796,0.099378,168
1356,0.169505,168
1356,0.169505,168
1363,0.169880,168
1358,0.170130,168
1358,0.169630,168
1357,0.170005,168
1356,0.169505,168
